item_id,alpha,code_id
420,,6
421,,6
422,,6
423,,6
424,,6
425,,6
426,,6
427,,6
428,,6
429,,6
430,,6
431,,6
432,,6
433,,6
434,,6
435,,6
436,,6
437,,6
438,,6
439,,6
440,,6
441,,6
442,,6
443,,6
444,,6
445,,6
446,,6
447,,6
448,,6
449,,6
450,,6
451,,6
452,,6
453,,6
454,,6
455,,6
456,,6
457,,6
458,,6
459,,6
460,,6
461,,6
462,,6
463,,6
464,,6
465,,6
466,,6
467,,6
468,,6
469,,6
470,,6
471,,6
472,,6
473,,6
474,,6
475,,6
476,,6
477,,6
478,,6
479,,6
480,,6
481,,6
482,,6
483,,6
484,,6
485,,6
486,,6
487,,6
488,,6
489,,6
490,,6
491,,6
492,,6
493,,6
494,,6
495,,6
496,,6
497,,6
498,,6
499,,6
500,,6
501,,6
502,,6
503,,6
504,,6
505,,6
506,,6
507,,6
508,,6
509,,6
510,,6
511,,6
512,,6
513,,6
514,,6
515,,6
516,,6
517,,6
518,,6
519,,6
520,,6
521,,6
522,,6
523,,6
524,,6
525,,6
526,,6
527,,6
528,,6
529,,6
530,,6
531,,6
532,,6
533,,6
534,,6
535,,6
536,,6
537,,6
538,,6
539,,6
540,,6
541,,6
542,,6
543,,6
544,,6
545,,6
546,,6
547,,6
548,,6
549,,6
550,,6
551,,6
552,,6
553,,6
554,,6
555,,6
556,,6
557,,6
558,,6
559,,6
560,,6
561,,6
562,,6
563,,6
564,,6
565,,6
566,,6
567,,6
568,,6
569,,6
570,,6
571,,6
572,,6
573,,6
574,,6
575,,6
576,,6
577,,6
578,,6
579,,6
580,,6
581,,6
