id,name,description,code_id,created,created_by,parent,is_leaf
1,tagging,includes some form of tagging system,1,1709565043425,1,,1
2,social deduction,players need to engage in social deduction,1,1709910683079,1,,1
3,puzzle pieces,"players need to assemble pieces in the correct manner, e.g. when presenting evidence",1,1709910826759,1,,1
4,deduction,players need to apply deduction for problem solving,1,1709910864309,1,,1
5,nothing,nooooothing,1,1709910945200,1,,1
6,rules,players must apply game rules correctly,1,1709911092384,1,,1
7,contradiction,players must find contradictions,1,1710169287840,1,,1
8,red strings,connect evidence pieces via red strings like a graph,1,1710169537955,1,,1
9,notes,players can create their own text notes,1,1710169537955,1,,1
10,gather information,"players must identify and gather information themselves, e.g. by inspecting objects or talking to NPCs",1,1710169624238,1,,1
11,text search,players can search through information by specifying search terms,1,1710171588976,1,,1
12,minigames,includes mini-games that reward players with progress in some form,1,1710171886240,1,,1
13,location markers,players can add location markers (e.g. to a map),1,1710235996661,1,,1
14,hide information,players can (visually) hide things not relevant to the current problem,1,1710236316125,1,,1
15,possibilities,players can define which possibilities they think are relevant,1,1710236484643,1,,1
16,blueprint,players can define or build blueprints that are used for planning,1,1710236656030,1,,1
17,map drawing,players can draw on a map,1,1710236914216,1,,1
18,chat wheel,players can post premade messages to a chat,1,1710236969585,1,,1
19,text in world,players can add (persistent) text to the game world,1,1710237123880,1,,1
20,action queue,players can add actions to a queue which persists their intentions,1,1710237400224,1,,1
21,predefined notes,includes some form of tagging system,1,1710764273173,2,,1
22,organization,players must organize resources to succeed (e.g min-maxing),1,1710952384138,2,,1
23,riddles,players must solve riddles to progress,1,1710956245429,2,,1
24,physics,"problem solving involves systems and rules based on physics, e.g. jump-and-run or more complex puzzles",1,1710956484400,2,,1
25,communication,players must communicate to coordinate their game actions or solve problems,1,1710962863491,1,,1
26,trial and error,players solve problems via trial and error since they can just try out different solution strategies without penalty (or with reloading),1,1710962926778,1,,1
27,point and click,"the game belongs to the point-and-click genre, i.e. players must solve riddles by talking to NPCs, combining and using items",1,1710963283363,1,,1
28,pew pew,players must overcome enemies with violence to progress,1,1710963979272,1,,1
29,location guidance,"players are automatically guided to a location, e.g. via markers or a trail",1,1710966824438,1,,1
30,busywork,"players must simply do work in order to progress, but the work does not require problem solving as such",1,1710967250015,1,,1
31,induction,players must use inductive reasoning to solve problems,1,1710968335023,1,,1
32,customization,"players can customize objects in the game, e.g. by renaming, coloring or more",1,1710968934321,1,,1
33,reusable blueprints,players can define blueprints or template to reuse at another point in time,1,1710968934321,1,,1
34,devise strategy,players must devise an appropriate strategy to solve problems,1,1710969196761,1,,1
35,choose dialog option,players often progress by choosing an (appropriate) dialog option,1,1711012276403,1,,1
36,highlight information,"players can choose to highlight specific information, e.g. that they deem relevant",1,1711014568101,1,,1
37,randomness,"players face challenges that include random components, e.g. random maps, tools, cards or enemies",1,1711016341931,1,,1
38,language,language is a central topic for problem solving,1,1711017155800,1,,1
40,pseudo blueprint,Players can define areas where something should happen,1,1711111373766,2,,1
41,location display,players can see markers or symbols that provide information,1,1711111373766,2,,1
42,strategy (optional),players can devise an appropriate strategy to solve problems,1,1711111565965,2,,1
43,possibilities (pseudo),players may think he has different possibilities for something,1,1711111904102,2,,1
44,timeline,,1,1711125631692,2,,1
45,red herings,,1,1711126159762,2,,1
46,accusation,,1,1711126791686,2,,1
93,automation,Automating processes via game mechanics is helpful or mandatory for problem solving,1,1711805797474,4,,1
94,secrets,"Game content that is hidden or not easily accessible (e.g. easter eggs, treasures, endings ...)",1,1711813043652,4,,1
97,test,,1,1711106263352,2,,1
98,accusation,,2,1711126791686,2,297,1
100,automation,Automating processes via game mechanics is helpful or mandatory for problem solving,2,1711805797474,4,295,0
101,blueprint,players can define or build blueprints that function as a planning help,2,1710236656030,1,179,1
102,busywork,"problems are solved by completing tasks that are often trivial or take a long time to complete

previously ...
players must simply do work in order to progress, but the work does not require problem solving as such",2,1710967250015,1,184,1
103,com: chat wheel,"players can post premade messages to a chat, usually by using a wheel where they can choose between a set of available messages

This acts as a barrier for toxicity and does not require devs to implement chat filters.",2,1710236969585,1,189,1
104,ginfo: dialog,players often progress by choosing an (appropriate) dialog option,2,1711012276403,1,110,1
105,communication,players must communicate to coordinate their game actions or solve problems,2,1710962863491,1,295,0
106,contradiction,players must find contradictions,2,1710169287840,1,297,1
107,personalization,"players can customize objects in the game, e.g. by renaming, coloring or more",2,1710968934321,1,200,0
109,strategic planning,players must devise an appropriate strategy to solve problems,2,1710969196761,1,215,1
110,gather information,"players must identify and gather information themselves to progress, e.g. by inspecting objects or talking to NPCs",2,1710169624238,1,295,0
111,info: hide,"players can (visually) hide information not relevant to the current problem, e.g. by clicking an item to reduce its rendering opacity

this does not include being able to show or hide information in windows, e.g. a quest log",2,1710236316125,1,302,1
112,info: highlight,"players can (visually) highlight specific information that they deem relevant, e.g. an item or piece of text",2,1711014568101,1,302,1
113,discover or learn rules,players must use inductive reasoning to solve problems,2,1710968335023,1,215,1
114,language,language is a central topic for problem solving,2,1711017155800,1,297,0
115,predefined symbols,players can see markers or symbols that provide information,2,1711111373766,2,222,1
116,direction display,"players are automatically guided to a location, e.g. via markers or a trail",2,1710966824438,1,310,0
117,placeable symbols,players can add location markers (e.g. to a map),2,1710235996661,1,222,1
118,map drawing,players can draw on a map,2,1710236914216,1,222,1
119,minigames,includes mini-games that reward players with progress in some form,2,1710171886240,1,200,0
120,info: record,"players can record information themselves, e.g. by a text note",2,1710169537955,1,302,1
122,organization,players must organize resources to succeed (e.g min-maxing),2,1710952384138,2,295,0
123,pew pew,players must overcome enemies with violence to progress,2,1710963979272,1,341,1
124,physics,"problem solving involves systems and rules based on physics, e.g. jump-and-run or more complex puzzles",2,1710956484400,2,297,1
125,point and click,"the game belongs to the point-and-click genre, i.e. players must solve riddles by talking to NPCs, combining and using items",2,1710963283363,1,341,1
126,possibilities,players can define which possibilities they think are relevant,2,1710236484643,1,296,0
127,misleading choices,players may think they have different possibilities but will end up in the same position regardless,2,1711111904102,2,126,1
129,exploit as blueprint,Players can define areas where something should happen,2,1711111373766,2,179,1
130,puzzle pieces,"players need to assemble pieces in the correct manner, e.g. when presenting evidence",2,1709910826759,1,215,1
131,random components,"players face challenges that include random components, e.g. random maps, tools, cards or enemies",2,1711016341931,1,341,1
132,red herings,story bait,2,1711126159762,2,126,1
133,info: connect,"players can (visually) connect pieces of information, e.g. via red strings like a graph",2,1710169537955,1,302,1
134,template,players can define blueprints or template to reuse at another point in time,2,1710968934321,1,179,1
137,secrets,"game content that is hidden or not easily accessible, e.g. easter eggs, treasures, special endings ..",2,1711813043652,4,341,1
138,social deduction,players need to engage in social deduction,2,1709910683079,1,215,1
140,info: tag,"players can tag information, which can be abstract or concrete, e.g. by tagging video clips based on their content",2,1709565043425,1,302,1
142,text in world,players can add (persistent) text to the game world,2,1710237123880,1,199,1
143,text search,players can search through information by specifying search terms,2,1710171588976,1,110,1
144,top: time,"This tag marks games that have time as a central topic. For example when the needs to achieve something in a specific amount of time, or when a groundhog day scenario is at play.",2,1711125631692,2,297,1
145,trial and error,players solve problems via trial and error since they can just try out different solution strategies without penalty (or with reloading),2,1710962926778,1,184,1
161,action queue,"Even though the game saves multiple inputs each input is tried to be executed once, if this doesnt work the command is removed from the queue anyway.
dota",2,1712508911628,1,165,1
164,queues,,2,1712516375204,2,200,0
165,queueplayer,,2,1712516477954,2,164,0
166,queuegame,e.g. Dorfromantik,2,1712516668685,2,164,1
167,inputbuffer,"Input is persistent even if it can not be executed immediately.

the game might try to do it multiple times or forever until the action succeeds

z.b. sims, prison architekt",2,1712516734422,2,165,1
168,direct,"dota
die reihenfolge ist direkt abhängig vom spieler input. Aktionen die zuerst eingegeben werden werden zuerst ausgeführt.",2,1712516838216,2,165,1
169,indirect,"spiel organisiert verteilung/abarbeitung der aufgaben selbst
z.b. prison architect

Der spieler hat nur indirekten einfluss auf die reihenfolge",2,1712516838216,2,165,1
170,realtime,"Der spieler kann zwar inputs speichern hat aber nachträglich keinen einfluss auf die queue

Slay the Spire (uneditierbare Echtzeit-Queue)",2,1712517019299,2,165,1
