id,item_id,tag_id,code_id,created,created_by
92631,582,1425,7,1739798735478,5
92632,582,1421,7,1739798735478,5
92633,583,1426,7,1739798735478,5
92634,583,1420,7,1739798735478,5
92635,584,1426,7,1739798735478,5
92636,584,1420,7,1739798735478,5
92637,585,1424,7,1739798735478,5
92638,585,1418,7,1739798735478,5
92639,586,1424,7,1739798735478,5
92640,586,1418,7,1739798735478,5
92641,587,1425,7,1739798735478,5
92642,587,1418,7,1739798735478,5
92643,588,1424,7,1739798735478,5
92644,588,1419,7,1739798735478,5
92645,589,1425,7,1739798735478,5
92646,589,1418,7,1739798735478,5
92647,590,1425,7,1739798735478,5
92648,590,1419,7,1739798735478,5
92649,592,1425,7,1739798735478,5
92650,592,1420,7,1739798735478,5
92651,593,1425,7,1739798735478,5
92652,593,1418,7,1739798735478,5
92653,594,1425,7,1739798735478,5
92654,594,1420,7,1739798735478,5
92655,596,1425,7,1739798735478,5
92656,596,1419,7,1739798735478,5
92657,597,1424,7,1739798735478,5
92658,597,1420,7,1739798735478,5
92659,599,1425,7,1739798735478,5
92660,599,1420,7,1739798735478,5
92661,600,1423,7,1739798735478,5
92662,600,1417,7,1739798735478,5
92663,601,1424,7,1739798735478,5
92664,601,1418,7,1739798735478,5
92665,602,1425,7,1739798735478,5
92666,602,1418,7,1739798735478,5
92667,603,1425,7,1739798735478,5
92668,603,1416,7,1739798735478,5
92669,606,1426,7,1739798735478,5
92670,606,1416,7,1739798735478,5
92671,607,1424,7,1739798735478,5
92672,607,1418,7,1739798735478,5
92673,609,1425,7,1739798735478,5
92674,609,1418,7,1739798735478,5
92675,610,1425,7,1739798735478,5
92676,610,1416,7,1739798735478,5
92677,611,1425,7,1739798735478,5
92678,611,1416,7,1739798735478,5
92679,612,1425,7,1739798735478,5
92680,612,1417,7,1739798735478,5
92681,613,1426,7,1739798735478,5
92682,613,1414,7,1739798735478,5
92683,614,1424,7,1739798735478,5
92684,614,1419,7,1739798735478,5
92685,615,1426,7,1739798735478,5
92686,615,1416,7,1739798735478,5
92687,616,1426,7,1739798735478,5
92688,616,1414,7,1739798735478,5
92689,617,1424,7,1739798735478,5
92690,617,1420,7,1739798735478,5
92691,618,1425,7,1739798735478,5
92692,618,1417,7,1739798735478,5
92693,619,1425,7,1739798735478,5
92694,619,1416,7,1739798735478,5
92695,620,1424,7,1739798735478,5
92696,620,1418,7,1739798735478,5
92697,621,1425,7,1739798735478,5
92698,621,1419,7,1739798735478,5
92699,582,1425,7,1739798768026,6
92700,582,1421,7,1739798768026,6
92701,585,1424,7,1739798768026,6
92702,585,1419,7,1739798768026,6
92703,586,1425,7,1739798768026,6
92704,586,1420,7,1739798768026,6
92705,587,1425,7,1739798768026,6
92706,587,1419,7,1739798768026,6
92707,588,1425,7,1739798768026,6
92708,588,1420,7,1739798768026,6
92709,590,1424,7,1739798768026,6
92710,590,1420,7,1739798768026,6
92711,592,1425,7,1739798768026,6
92712,592,1419,7,1739798768026,6
92713,593,1424,7,1739798768026,6
92714,593,1418,7,1739798768026,6
92715,594,1424,7,1739798768026,6
92716,594,1418,7,1739798768026,6
92717,595,1424,7,1739798768026,6
92718,595,1420,7,1739798768026,6
92719,596,1424,7,1739798768026,6
92720,596,1417,7,1739798768026,6
92721,597,1423,7,1739798768026,6
92722,597,1417,7,1739798768026,6
92723,598,1424,7,1739798768026,6
92724,598,1418,7,1739798768026,6
92725,600,1424,7,1739798768026,6
92726,600,1419,7,1739798768026,6
92727,601,1425,7,1739798768026,6
92728,601,1418,7,1739798768026,6
92729,602,1424,7,1739798768026,6
92730,602,1417,7,1739798768026,6
92731,603,1425,7,1739798768026,6
92732,603,1415,7,1739798768026,6
92733,604,1425,7,1739798768026,6
92734,604,1418,7,1739798768026,6
92735,605,1424,7,1739798768026,6
92736,605,1418,7,1739798768026,6
92737,606,1425,7,1739798768026,6
92738,606,1418,7,1739798768026,6
92739,607,1425,7,1739798768026,6
92740,607,1418,7,1739798768026,6
92741,609,1424,7,1739798768026,6
92742,609,1418,7,1739798768026,6
92743,610,1425,7,1739798768026,6
92744,610,1417,7,1739798768026,6
92745,611,1424,7,1739798768026,6
92746,611,1417,7,1739798768026,6
92747,612,1425,7,1739798768026,6
92748,612,1418,7,1739798768026,6
92749,613,1425,7,1739798768026,6
92750,613,1416,7,1739798768026,6
92751,616,1425,7,1739798768026,6
92752,616,1415,7,1739798768026,6
92753,617,1424,7,1739798768026,6
92754,617,1417,7,1739798768026,6
92755,618,1425,7,1739798768026,6
92756,618,1417,7,1739798768026,6
92757,619,1425,7,1739798768026,6
92758,619,1416,7,1739798768026,6
92759,620,1425,7,1739798768026,6
92760,620,1418,7,1739798768026,6
92761,621,1425,7,1739798768026,6
92762,621,1417,7,1739798768026,6
92763,582,1424,7,1739798792778,7
92764,582,1419,7,1739798792778,7
92765,583,1425,7,1739798792778,7
92766,583,1418,7,1739798792778,7
92767,584,1425,7,1739798792778,7
92768,584,1416,7,1739798792778,7
92769,585,1425,7,1739798792778,7
92770,585,1419,7,1739798792778,7
92771,586,1426,7,1739798792778,7
92772,586,1420,7,1739798792778,7
92773,587,1426,7,1739798792778,7
92774,587,1416,7,1739798792778,7
92775,588,1425,7,1739798792778,7
92776,588,1417,7,1739798792778,7
92777,589,1426,7,1739798792778,7
92778,589,1418,7,1739798792778,7
92779,590,1425,7,1739798792778,7
92780,590,1419,7,1739798792778,7
92781,591,1425,7,1739798792778,7
92782,591,1419,7,1739798792778,7
92783,592,1425,7,1739798792778,7
92784,592,1419,7,1739798792778,7
92785,593,1425,7,1739798792778,7
92786,593,1418,7,1739798792778,7
92787,594,1425,7,1739798792778,7
92788,594,1419,7,1739798792778,7
92789,595,1425,7,1739798792778,7
92790,595,1421,7,1739798792778,7
92791,596,1425,7,1739798792778,7
92792,596,1419,7,1739798792778,7
92793,597,1426,7,1739798792778,7
92794,597,1418,7,1739798792778,7
92795,598,1424,7,1739798792778,7
92796,598,1419,7,1739798792778,7
92797,599,1424,7,1739798792778,7
92798,599,1419,7,1739798792778,7
92799,600,1424,7,1739798792778,7
92800,600,1418,7,1739798792778,7
92801,601,1424,7,1739798792778,7
92802,601,1418,7,1739798792778,7
92803,602,1425,7,1739798792778,7
92804,602,1418,7,1739798792778,7
92805,603,1425,7,1739798792778,7
92806,603,1418,7,1739798792778,7
92807,604,1425,7,1739798792778,7
92808,604,1418,7,1739798792778,7
92809,605,1424,7,1739798792778,7
92810,605,1417,7,1739798792778,7
92811,606,1426,7,1739798792778,7
92812,606,1419,7,1739798792778,7
92813,607,1425,7,1739798792778,7
92814,607,1418,7,1739798792778,7
92815,608,1426,7,1739798792778,7
92816,608,1418,7,1739798792778,7
92817,609,1425,7,1739798792778,7
92818,609,1417,7,1739798792778,7
92819,610,1425,7,1739798792778,7
92820,610,1417,7,1739798792778,7
92821,611,1426,7,1739798792778,7
92822,611,1417,7,1739798792778,7
92823,612,1426,7,1739798792778,7
92824,612,1417,7,1739798792778,7
92825,613,1425,7,1739798792778,7
92826,613,1416,7,1739798792778,7
92827,614,1425,7,1739798792778,7
92828,614,1416,7,1739798792778,7
92829,615,1426,7,1739798792778,7
92830,615,1416,7,1739798792778,7
92831,616,1425,7,1739798792778,7
92832,616,1416,7,1739798792778,7
92833,617,1425,7,1739798792778,7
92834,617,1417,7,1739798792778,7
92835,618,1425,7,1739798792778,7
92836,618,1419,7,1739798792778,7
92837,619,1424,7,1739798792778,7
92838,619,1417,7,1739798792778,7
92839,620,1425,7,1739798792778,7
92840,620,1418,7,1739798792778,7
92841,621,1425,7,1739798792778,7
92842,621,1418,7,1739798792778,7
92843,583,1426,7,1739798808261,8
92844,583,1419,7,1739798808261,8
92845,584,1425,7,1739798808261,8
92846,584,1419,7,1739798808261,8
92847,589,1424,7,1739798808261,8
92848,589,1419,7,1739798808261,8
92849,591,1424,7,1739798808261,8
92850,591,1419,7,1739798808261,8
92851,595,1423,7,1739798808261,8
92852,595,1420,7,1739798808261,8
92853,598,1426,7,1739798808261,8
92854,598,1419,7,1739798808261,8
92855,599,1425,7,1739798808261,8
92856,599,1420,7,1739798808261,8
92857,604,1424,7,1739798808261,8
92858,604,1419,7,1739798808261,8
92859,605,1424,7,1739798808261,8
92860,605,1416,7,1739798808261,8
92861,608,1425,7,1739798808261,8
92862,608,1417,7,1739798808261,8
92863,614,1424,7,1739798808261,8
92864,614,1417,7,1739798808261,8
92865,615,1425,7,1739798808261,8
92866,615,1416,7,1739798808261,8
